rgn_id,sciname,iucn_sid,year,category
1,Lamna nasus,11200,2009.0,VU
1,Lamna nasus,39344,2009.0,EN
1,Lepidochelys kempii,11533,2009.0,CR
1,Lepidochelys olivacea,11534,2009.0,VU
1,Megachasma pelagios,39338,2009.0,LC
1,Megaptera novaeangliae,13006,2009.0,LC
1,Prionace glauca,39381,2009.0,NT
1,Rhincodon typus,19488,2009.0,VU
1,Steno bredanensis,20738,2009.0,LC
1,Triaenodon obesus,39384,2009.0,NT
1,Ursus maritimus,22823,2009.0,VU
1,Alopias vulpinus,39339,2008.0,VU
1,Balaena mysticetus,2467,2008.0,LC
1,Balaena mysticetus,2468,2008.0,CD
1,Balaenoptera acutorostrata,2474,2008.0,LC
1,Balaenoptera borealis,2475,2008.0,EN
1,Balaenoptera musculus,2477,2008.0,EN
1,Balaenoptera physalus,2478,2008.0,EN
1,Carcharhinus amblyrhynchos,39365,2008.0,NT
1,Carcharhinus perezi,60217,2008.0,NT
1,Carcharodon carcharias,3855,2008.0,VU
1,Caretta caretta,3897,2008.0,EN
1,Caretta caretta,83652278,2008.0,LC
1,Caretta caretta,84131194,2008.0,LC
1,Cetorhinus maximus,4292,2008.0,VU
1,Cetorhinus maximus,39545,2008.0,EN
1,Chelonia mydas,4615,2008.0,EN
1,Chelonia mydas,16285718,2008.0,LC
1,Dermochelys coriacea,6494,2008.0,CR
1,Dermochelys coriacea,46967807,2008.0,CR
1,Dermochelys coriacea,46967817,2008.0,CR
1,Dermochelys coriacea,46967827,2008.0,LC
1,Eretmochelys imbricata,8005,2008.0,CR
1,Eschrichtius robustus,8097,2008.0,LC
1,Eubalaena glacialis,41712,2008.0,EN
1,Eubalaena japonica,41711,2008.0,EN
1,Eubalaena japonica,133706,2008.0,CR
1,Galeocerdo cuvier,39378,2008.0,NT
1,Isurus oxyrinchus,39341,2008.0,NT
1,Isurus oxyrinchus,161749,2008.0,VU
1,Isurus oxyrinchus,161751,2008.0,NT
1,Isurus paucus,60225,2008.0,VU
1,Lamna nasus,11200,2008.0,VU
1,Lamna nasus,39344,2008.0,EN
1,Lepidochelys kempii,11533,2008.0,CR
1,Lepidochelys olivacea,11534,2008.0,VU
1,Megachasma pelagios,39338,2008.0,LC
1,Megaptera novaeangliae,13006,2008.0,LC
1,Prionace glauca,39381,2008.0,NT
1,Rhincodon typus,19488,2008.0,VU
1,Steno bredanensis,20738,2008.0,LC
1,Triaenodon obesus,39384,2008.0,NT
1,Ursus maritimus,22823,2008.0,VU
1,Alopias vulpinus,39339,2007.0,VU
1,Balaena mysticetus,2467,2007.0,CD
1,Balaena mysticetus,2468,2007.0,CD
1,Balaenoptera acutorostrata,2474,2007.0,NT
1,Balaenoptera borealis,2475,2007.0,EN
1,Balaenoptera musculus,2477,2007.0,EN
1,Balaenoptera physalus,2478,2007.0,EN
1,Carcharhinus amblyrhynchos,39365,2007.0,NT
1,Carcharhinus perezi,60217,2007.0,NT
1,Carcharodon carcharias,3855,2007.0,VU
1,Caretta caretta,3897,2007.0,EN
1,Caretta caretta,83652278,2007.0,LC
1,Caretta caretta,84131194,2007.0,LC
1,Cetorhinus maximus,4292,2007.0,VU
1,Cetorhinus maximus,39545,2007.0,EN
1,Chelonia mydas,4615,2007.0,EN
1,Chelonia mydas,16285718,2007.0,LC
1,Dermochelys coriacea,6494,2007.0,CR
1,Dermochelys coriacea,46967807,2007.0,CR
1,Dermochelys coriacea,46967817,2007.0,CR
1,Dermochelys coriacea,46967827,2007.0,LC
1,Eretmochelys imbricata,8005,2007.0,CR
